	desc
GO:0140313	"""Binding to a specific molecule to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active."" [PMID:13130076]"
GO:0140657	"""A molecular function characterized by the coupling of ATP hydrolysis to other steps of a reaction mechanism to make the reaction energetically favorable, for example to catalyze a reaction or drive transport against a concentration gradient."" [PMID:24878343, PMID:25750732, PMID:32933017, PMID:33818025, PMID:33873056, PMID:33988324]"
GO:0098772	"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]"
GO:0140104	"""Directly binding to a specific ion or molecule and delivering it either to an acceptor molecule or to a specific location."" [GOC:molecular_function_refactoring, GOC:pdt]"
GO:0140489	"""The action of a molecule that provides a shape or a sequence mimicking or complementary to the final product, providing template for copying the original molecule's shape or sequence."" [GOC:pg]"
GO:0140911	"""An activity in which a protein is inserted into the membrane of another cell where it forms transmembrane pores. Pores disrupts the integrity of the cell membrane, resulting in deregulated ion homeostasis, cellular dysfunction, and can result in cell death."" [PMID:1406491, PMID:25157079, PMID:34387717]"
GO:0140776	"""A molecular function that involves direct binding to one of the subunits of a protein-containing complex and promoting the dissociation of one or many subunits. This often happens by changing the conformation of the protein being bound, which decreases its affinity for the rest of the complex."" [PMID:23727094, PMID:29779865, PMID:34836783]"
GO:0045735	"""Functions in the storage of nutritious substrates."" [GOC:ai]"
GO:0140223	"""A molecular function required for core promoter activity that mediates the assembly of the RNA polymerase holoenzyme at promoter DNA to form the pre-initiation complex (PIC). General transcription factors (GTFs) bind to and open promoter DNA, initiate RNA synthesis and stimulate the escape of the polymerase from the promoter. Not all subunits of the general transcription factor are necessarily present at all promoters to initiate transcription. GTFs act at each promoter, although the exact subunit composition at individual promoters may vary."" [GOC:txnOH-2018]"
GO:0140777	"""A molecular function that involves direct binding to one of the subunits of a protein-containing complex, thus preventing an interaction with a factor that would promote dissociation of the complex."" [PMID:34040253]"
GO:0005488	"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]"
GO:0044183	"""Binding to a protein or a protein-containing complex to assist the protein folding process."" [GOC:mtg_cambridge_2009]"
GO:0038024	"""Binding specifically to a substance (cargo) to deliver it to a transport vesicle. Cargo receptors span a membrane (either the plasma membrane or a vesicle membrane), binding simultaneously to cargo molecules and coat adaptors, to efficiently recruit soluble proteins to nascent vesicles."" [PMID:15239958, PMID:27903609]"
GO:0032501	"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]"
GO:0050896	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]"
GO:0040011	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"
GO:0042592	"""Any biological process involved in the maintenance of an internal steady state."" [GOC:jl, ISBN:0395825172]"
GO:0032502	"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]"
GO:0000003	"""The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms."" [GOC:go_curators, GOC:isa_complete, GOC:jl, ISBN:0198506732]"
GO:0044419	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"
GO:0044848	"""A distinct period or stage in a biological process or cycle."" [GOC:jl]"
GO:0043473	"""The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells."" [GOC:jl]"
GO:0048511	"""Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."" [GOC:jid]"
GO:0051179	"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]"
GO:0016032	"""A multi-organism process in which a virus is a participant. The other participant is the host. Includes infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle."" [GOC:bf, GOC:jl, GOC:mah]"
GO:0008152	"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]"
GO:0051703	"""Any process in which an organism has an effect on an organism of the same species."" [GOC:ai]"
GO:0009987	"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]"
GO:0065007	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"
GO:0002376	"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]"
GO:0040007	"""The increase in size or mass of an entire organism, a part of an organism or a cell."" [GOC:bf, GOC:ma]"
GO:0044423	"""Any constituent part of a virion, a complete fully infectious extracellular virus particle."" [GOC:jl]"
GO:0032991	"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]"
GO:0110165	"""A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."" [GOC:kmv]"
GO:0030674	"""The binding activity of a protein that brings together two or more macromolecules in contact, permitting those molecules to function in a coordinated way. The adaptor can bring together two proteins, or a protein and another macromolecule such as a lipid or a nucleic acid."" [GOC:bf, GOC:mah, GOC:vw]"
GO:0140523	"""A GTPase activity that mediates the joining two lipid bilayers to form a single membrane."" [PMID:29663589]"
GO:0042302	"""The action of a molecule that contributes to the structural integrity of a cuticle."" [GOC:jl]"
GO:0005213	"""The action of a molecule that contributes to the structural integrity of an egg chorion. An example of this is found in Drosophila melanogaster."" [GOC:mah, GOC:sensu]"
GO:0098918	"""The action of a molecule that contributes to the structural integrity of a synapse."" [GOC:dos]"
GO:0030281	"""The action of a molecule that contributes to the structural integrity of cutaneous epidermal structures such as hairs, scales, or feathers."" [GOC:mah, ISBN:0878932437]"
GO:0097493	"""The action of a molecule that contributes to the structural integrity of a complex or assembly within or outside a cell, providing elasticity and recoiling."" [GOC:BHF, GOC:rl, PMID:23283722]"
GO:0017056	"""The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules."" [GOC:mah, PMID:25802992]"
GO:0005201	"""The action of a molecule that contributes to the structural integrity of the extracellular matrix."" [GOC:mah]"
GO:0019911	"""The action of a molecule that contributes to the structural integrity of the myelin sheath of a nerve."" [GOC:mah]"
GO:0005200	"""The action of a molecule that contributes to the structural integrity of a cytoskeletal structure."" [GOC:mah]"
GO:0140756	"""The action of a molecule that contributes to the structural integrity of the proteasome."" [PMID:10500111, PMID:28525752, PMID:28583440, PMID:29652515]"
GO:0039660	"""The action of a molecule that contributes to the structural integrity of a virion."" [GOC:bf, GOC:jl]"
GO:0008147	"""The action of a molecule that contributes to the structural integrity of bone."" [GOC:mah]"
GO:0030280	"""The action of a molecule that contributes to the structural integrity of an epidermal cutaneous structure."" [GOC:mah]"
GO:0003735	"""The action of a molecule that contributes to the structural integrity of the ribosome."" [GOC:mah]"
GO:0016490	"""The action of a molecule that contributes to the structural integrity of the peritrophic membrane, a tubular sheath of cuticle that shields the epithelial cells of the midgut from the gut contents. An example of this is found in Drosophila melanogaster."" [GOC:mtg_sensu, ISBN:0879694238]"
GO:0008307	"""The action of a molecule that contributes to the structural integrity of a muscle fiber."" [GOC:mah]"
GO:0005199	"""The action of a molecule that contributes to the structural integrity of a cell wall."" [GOC:mah]"
GO:0005212	"""The action of a molecule that contributes to the structural integrity of the lens of an eye."" [GOC:mah]"
GO:0043886	"""The action of a molecule that contributes to the structural integrity of a carboxysome shell, an organelle found in all cyanobacteria and some chemoautotrophs, consisting of a proteinaceous coat and enzymes for the fixation of CO2."" [GOC:jl, PMID:28934381]"
GO:0030527	"""The action of a molecule that contributes to the structural integrity of chromatin."" [GOC:ai]"
GO:0097099	"""The action of a molecule that contributes to the structural integrity of albumen (also called egg white). Albumen is the clear liquid contained within an egg and consists of water and proteins, among which are ovomucin and ovomucoid. It protects the egg yolk and provides additional nutrition for the growth of the embryo."" [GOC:jj, Wikipedia:Albumen]"
GO:0008316	"""The action of a molecule that contributes to the structural integrity of the vitelline membrane of an egg. An example of this is found in Drosophila melanogaster."" [GOC:mah, GOC:sensu]"
GO:0030371	"""Antagonizes ribosome-mediated translation of mRNA into a polypeptide."" [GOC:ai, GOC:clt]"
GO:0045183	"""A translation regulator activity that does not involve binding to nucleic acids."" [GOC:ai, GOC:dph, GOC:tb]"
GO:0106254	"""Binding to and responding, e.g. by conformational change, to changes in the cellular level of a lipid."" [GOC:vw, PMID:30075144]"
GO:0140612	"""A molecule that recognises toxic DNA structures, for example, double-strand breaks or collapsed replication forks, and initiates a signalling response."" [PMID:31995034]"
GO:0140785	"""Binding to and responding, e.g. by conformational change, to changes in the cellular level of an amino acid."" [GOC:pg]"
GO:0140784	"""Binding to and responding, e.g. by conformational change, to changes in the cellular level of a metal ion."" [GOC:pg]"
GO:0140442	"""Binding to hydrogen peroxide (H2O2) and eliciting a change in the protein's activity in response to the intracellular level of that small molecule."" [PMID:20919928]"
GO:0140605	"""A motor activity driven by an electrochemical proton gradient (proton-motive force). PMF-driven motors are used by bacterial flagella."" [PMID:18216858]"
GO:0005319	"""Enables the directed movement of lipids into, out of or within a cell, or between cells."" [GOC:ai]"
GO:0140318	"""Directly binding to a specific protein and delivering it to a specific cellular location."" [PMID:18706423]"
GO:0022857	"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]"
GO:0140640	"""Catalytic activity that acts to modify a nucleic acid."" [GOC:pg]"
GO:0016218	"""Catalysis of a multistep reaction that produce polyketides through decarboxylative condensation of carboxylic acids. The key chain-building reaction, a C-N bond-forming reaction, involves the generation of the characteristic peptide bond by nucleophilic attack of the amino group of an amino-acyl donor unit covalently bound to a downstream peptidyl carrier protein module (amino acyl-S-PCP) on the acyl group of an upstream electrophilic acyl- or peptidyl acyl-S-PCP chain, catalyzed by a condensation (C) domain. Supplementing these core chain-elongation domains are variable numbers of auxiliary domains that are responsible for modification of the growing polypeptide chain by a small set of iterated reactions including epimerization, N-methylation, and heterocyclization."" [PMID:10631508]"
GO:0140096	"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]"
GO:0016787	"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."" [ISBN:0198506732]"
GO:0016829	"""Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring."" [ISBN:0198547684]"
GO:1904091	"""Catalysis of a multistep reaction that produce non-ribosomal peptides. The key chain-building reaction, a C-N bond-forming reaction, involves the generation of the characteristic peptide bond by nucleophilic attack of the amino group of an amino-acyl donor unit covalently bound to a downstream peptidyl carrier protein module (amino acyl-S-PCP) on the acyl group of an upstream electrophilic acyl- or peptidyl acyl-S-PCP chain, catalyzed by a condensation (C) domain. Supplementing these core chain-elongation domains are variable numbers of auxiliary domains that are responsible for modification of the growing polypeptide chain by a small set of iterated reactions including epimerization, N-methylation, and heterocyclization."" [PMID:10631508, PMID:17502372]"
GO:0016491	"""Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."" [GOC:go_curators]"
GO:0032451	"""Catalysis of the removal of a methyl group from a substrate."" [GOC:mah]"
GO:0061783	"""A catalytic activity that contributes to the degradation of peptidoglycan."" [GOC:dph, GOC:jh, PMID:22748813]"
GO:0016740	"""Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [ISBN:0198506732]"
GO:0016853	"""Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5."" [ISBN:0198506732]"
GO:0009975	"""Catalysis of a ring closure reaction."" [ISBN:0198547684]"
GO:0004133	"""Catalysis of the cleavage of branch points in branched glycogen polymers."" [ISBN:0198506732]"
GO:0016874	"""Catalysis of the joining of two molecules, or two groups within a single molecule, using the energy from the hydrolysis of ATP, a similar triphosphate, or a pH gradient."" [GOC:mah]"
GO:0031992	"""The biological transducer activity that accepts energy and converts it to another form, often by transfer to another molecule within the cell."" [GOC:go_curators]"
GO:0000156	"""Responds to a phosphorelay sensor to initiate a change in cell state or activity. The activity of the response regulator is regulated by transfer of a phosphate from a histidine residue in the sensor, to an aspartate residue in the response regulator. Many but not all response regulators act as transcriptional regulators to elicit a response."" [GOC:bf, PMID:10966457, PMID:11842140]"
GO:0038023	"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]"
GO:0001073	"""Binds to DNA, typically within region of the promoter and transcribed region, to promote readthrough of a transcription termination site and thus extending the length of the RNA transcript produced. Examples of antitermination factors which bind DNA include the lambda Q protein."" [GOC:txnOH, PMID:8332211]"
GO:0043856	"""The function of binding to an anti-sigma factor and stopping, preventing or reducing the rate of its activity."" [GOC:jl, GOC:txnOH, PMID:15576799]"
GO:0003711	"""A molecular function that stimulates the elongation properties of the RNA polymerase during the elongation phase of transcription. A subclass of transcription elongation factors enable the transition from transcription initiation to elongation, while another class rescue stalled RNA polymerases."" [GOC:txnOH-2018, PMID:23878398, PMID:28892040]"
GO:0034246	"""Interacting with the mitochondrial promoter DNA to modulate transcription by the mitochondrial RNA polymerase."" [GOC:txnOH-2018, PMID:18391175]"
GO:0001070	"""A transcription regulator activity that modulates the transcription of specific gene sets via selective and non-covalent binding to a specific RNA sequence. This function is known to occur in phages and viruses, for example the lambda N and the HIV tat proteins are necessary to allow RNA polymerase to read through terminator sequences."" [GOC:txnOH-2018, PMID:1756726]"
GO:0003712	"""A transcription regulator activity that modulates the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Coregulators often act by altering chromatin structure and modifications. For example, one class of transcription coregulators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators."" [GOC:txnOH-2018, PMID:10213677, PMID:16858867, PMID:24203923, PMID:25957681, Wikipedia:Transcription_coregulator]"
GO:0003700	"""A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."" [GOC:txnOH-2018]"
GO:0001072	"""Binds to RNA, typically within the nascent RNA transcript, to promote readthrough of a transcription termination site and thus extending the length of the RNA transcript produced. Examples of antitermination factors which bind the nascent RNA include the lambda N protein and the HIV-1 tat protein."" [GOC:txnOH, PMID:8332211]"
GO:0140610	"""Binding to a specific RNA molecule to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active."" [PMID:29084823]"
GO:0140319	"""Binding and sequestering a specific receptor ligand to prevent it from binding to its regular receptor."" [Wikipedia:Decoy_receptors]"
GO:0140487	"""Binding to a metal ion to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active."" [PMID:12050156]"
GO:0140311	"""Binding to a protein to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active."" [PMID:1493333]"
GO:0097351	"""Binding to a toxin to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active."" [GOC:rs, PMID:19143615, PMID:19325885, PMID:21819231, PMID:22545240, PMID:24806488, Wikipedia:Toxin-antitoxin_system#Type_II]"
GO:0003777	"""A motor activity that generates movement along a microtubule, driven by ATP hydrolysis."" [PMID:19686686, PMID:32684327, PMID:32842864]"
GO:1990833	"""Catalysis of the reaction: ATP + H2O = ADP + phosphate. Catalysis of the removal of clathrin from vesicle membranes, coupled to the hydrolysis of ATP."" [PMID:6146630, PMID:8363588]"
GO:0070463	"""Catalysis of the reaction: ATP + H2O = ADP + phosphate. This reaction requires the presence of a tubulin dimer to accelerate release of ADP and phosphate."" [GOC:mah, PMID:16906148]"
GO:0030899	"""Catalysis of the reaction: ATP + H2O = ADP + phosphate. This reaction requires the presence of calcium ion (Ca2+)."" [GOC:mah]"
GO:0000146	"""A motor activity that generates movement along a microfilament, driven by ATP hydrolysis."" [PMID:29716949]"
GO:0008186	"""Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction requires the presence of RNA, and it drives another reaction."" [GOC:jl]"
GO:0036402	"""Catalysis of the reaction: ATP + H2O = ADP + phosphate, which promotes unfolding of protein substrates, and channel opening of the core proteasome."" [GOC:rb, PMID:11430818]"
GO:0030234	"""Binds to and modulates the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]"
GO:0140677	"""A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]"
GO:0097690	"""Binds to and stops, prevents, or reduces the activity of an iron ion transmembrane transporter."" [GOC:BHF, GOC:kom, PMID:15514116]"
GO:0030545	"""Binds to and modulates the activity of a receptor."" [GOC:ceb]"
GO:0140537	"""A molecular function regulator that increases the activity of a transcription regulator via direct binding and/or post-translational modification."" [PMID:9597751]"
GO:0140678	"""A molecular function regulator that inhibits or decreases the activity of its target via non-covalent binding that does not result in covalent modification to the target."" [GOC:curators]"
GO:0140871	"""Binds to and stops, prevents or reduces the activity of an RNA polymerase inhibitor."" [PMID:28475895, PMID:31048766]"
GO:0016247	"""Binds to and modulates the activity of a channel. A channel catalyzes energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel."" [GOC:mah]"
GO:0140659	"""Binds to and modulates the activity of a motor protein."" [PMID:23142046, PMID:33221250]"
GO:0140416	"""A molecular function regulator that inhibits the activity of a transcription regulator via direct binding and/or post-translational modification."" [PMID:10652346]"
GO:0060590	"""Binds to and modulates the activity of an ATP hydrolysis activity."" [GOC:dph, GOC:tb]"
GO:0016530	"""Binding to and delivering metal ions to a target protein."" [PMID:11739376]"
GO:0005344	"""Binding to oxygen and delivering it to an acceptor molecule or a specific location."" [GOC:ai]"
GO:0140597	"""Binding to and carrying a protein between two different cellular components by moving along with the target protein."" [PMID:7628437]"
GO:0140132	"""Binding to an iron-sulfur cluster and delivering it to an acceptor molecule."" [PMID:22966982, PMID:29051382]"
GO:0097163	"""Covalently binding to sulfur and delivering it to an acceptor molecule."" [GOC:imk, PMID:16387657]"
GO:0140414	"""Binding a substrate via a thioester at the terminal thiol of a covalentely linked phosphopantetheine prosthetic group and mediating protein-protein interactions with cognate enzymes for processing or offloading of the thiol-bound substrate."" [PMID:17502372]"
GO:0140142	"""Binding to and carrying a cargo between the nucleus and the cytoplasm by moving along with the cargo. The cargo can be either a RNA or a protein."" [GOC:pg]"
GO:0140490	"""The action of a molecule that provides a shape mimicking the end of a microtubule to seed the formation of a new microtubule via self-assembly."" [PMID:20631709, PMID:21993292]"
GO:0140545	"""An ATP-dependent molecular chaperone activity that mediates the solubilization of ordered protein aggregates."" [PMID:26312418]"
GO:0140775	"""Binding to an actin filament and promoting the dissociation of an actin filament branch."" [PMID:20362448]"
GO:0003789	"""Binding to an actin subunit and promoting its dissociation from an actin filament by a local change in actin subunit conformation and orientation, and severing of filaments."" [PMID:11812157, PMID:23395798, PMID:23727096]"
GO:0001181	"""A general transcription initiation factor activity that contributes to transcription start site selection and transcription initiation of genes transcribed by RNA polymerase I. Factors required for RNA polymerase I transcription initiation include upstream activation factor (UAF), core factor (CF), TATA binding protein (TBP) and RRN3. In all species characterized, RNA polymerase I transcribes a large polycistronic transcript that is processed into several mature rRNAs (3 or 4 depending on the species), including the large subunit rRNA (28S in humans), the small subunit rRNA (18S in humans), as well as one or two additional smaller rRNAs (the 5.8S rRNA in humans). In most species, this large rRNA transcript is the sole product of RNA polymerase I. However there are rare exceptions, such as Trypanosoma brucei, where RNA polymerase I also transcribes certain mRNAs."" [GOC:txnOH-2018, PMID:11500378, PMID:17972917, PMID:25346433, PMID:28340337, PMID:28842442, PMID:31358304]"
GO:0000995	"""A general transcription initiation factor activity that contributes to transcription start site selection and transcription initiation of genes transcribed by RNA polymerase III. Factors required for RNA polymerase III transcription initiation include TFIIIA, TFIIIB and TFIIIC. RNA polymerase III transcribes genes encoding short RNAs, including tRNAs, 5S rRNA, U6 snRNA, the short ncRNA component of RNases P, the mitochondrial RNA processing (MRP) RNA, the signal recognition particle SRP RNA, and in higher eukaryotes a number of micro and other small RNAs, though there is some variability across species as to whether a given small noncoding RNA is transcribed by RNA polymerase II or RNA polymerase III."" [GOC:txnOH-2018, PMID:12381659, PMID:17977614, PMID:20413673, PMID:27068803, Wikipedia:RNA_polymerase_III]"
GO:0016251	"""A general transcription initiation factor activity that contributes to transcription start site selection and transcription initiation of genes transcribed by RNA polymerase II. The general transcription factors for RNA polymerase II include TFIIB, TFIID, TFIIE, TFIIF, TFIIH and TATA-binding protein (TBP). In most species, RNA polymerase II transcribes all messenger RNAs (mRNAs), most untranslated regulatory RNAs, the majority of the snoRNAs, four of the five snRNAs (U1, U2, U4, and U5), and other small noncoding RNAs. For some small RNAs there is variability between species as to whether it is transcribed by RNA polymerase II or RNA polymerase III. However there are also rare exceptions, such as Trypanosoma brucei, where RNA polymerase I transcribes certain mRNAs in addition to its normal role in rRNA transcription."" [GOC:txnOH-2018, PMID:10384286, PMID:10747032, PMID:23442138, PMID:25693126]"
GO:0140778	"""A protein-containing complex stabilizing activity that prevents dissociation of microtubules."" [PMID:34970964]"
GO:0051192	"""Binding to a prosthetic group, the non-amino acid portion of certain protein molecules. Prosthetic groups may be inorganic or organic and are usually required for the biological activity of the protein."" [GOC:ai, GOC:vw]"
GO:0097367	"""Binding to a carbohydrate derivative."" [GOC:pr]"
GO:0042165	"""Binding to a neurotransmitter, any chemical substance that is capable of transmitting (or inhibiting the transmission of) a nerve impulse from a neuron to another cell."" [ISBN:0198506732]"
GO:1901363	"""Binding to heterocyclic compound."" [GOC:TermGenie]"
GO:0042562	"""Binding to an hormone, a naturally occurring substance secreted by specialized cells that affect the metabolism or behavior of cells possessing functional receptors for the hormone. Hormones may be produced by the same, or different, cell as express the receptor."" [GOC:jl]"
GO:0043167	"""Binding to an ion, a charged atoms or groups of atoms."" [GOC:jl]"
GO:0043287	"""Binding to a poly(3-hydroxyalkanoate), a polyester of 3-hydroxyacids produced as intracellular granules by a large variety of bacteria."" [GOC:jl]"
GO:0043515	"""Binding to a kinetochore, a proteinaceous structure on a condensed chromosome, beside the centromere, to which the spindle fibers are attached."" [GOC:jl]"
GO:1990300	"""Binding to a cellulosome, an extracellular multi-enzyme complex containing several enzymes aligned on a non-catalytic scaffolding that functions to hydrolyze plant cell wall polysaccharides."" [GOC:mengo_curators, PMID:11893054, PMID:15197390]"
GO:0035731	"""Binding to a dinitrosyl-iron complex. Nitric oxide (NO) is stored as dinitrosyl-iron complexes, which form spontaneously from Glutathione (GSH), S-nitrosoglutathione, and trace amounts of ferrous ions, or by reaction of iron-sulfur centers with NO."" [GOC:BHF, PMID:10534443]"
